Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides WT_1	Peptides WT_2	Peptides WT_3	Peptides KO_1	Peptides KO_2	Peptides KO_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Razor + unique peptides KO_1	Razor + unique peptides KO_2	Razor + unique peptides KO_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Unique peptides KO_1	Unique peptides KO_2	Unique peptides KO_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type WT_1	Identification type WT_2	Identification type WT_3	Identification type KO_1	Identification type KO_2	Identification type KO_3	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Sequence coverage KO_1 [%]	Sequence coverage KO_2 [%]	Sequence coverage KO_3 [%]	Intensity	Intensity WT_1	Intensity WT_2	Intensity WT_3	Intensity WT_4	Intensity KO_1	Intensity KO_2	Intensity KO_3	Intensity KO_4	iBAQ	iBAQ WT_1	iBAQ WT_2	iBAQ WT_3	iBAQ KO_1	iBAQ KO_2	iBAQ KO_3	MS/MS count WT_1	MS/MS count WT_2	MS/MS count WT_3	MS/MS count KO_1	MS/MS count KO_2	MS/MS count KO_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	reshuffled	reshuffled (#1)
A0A096LPI6	A0A096LPI6	11	9	0	NA	NA	Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2	1	11	9	0	7	6	7	7	9	7	5	5	6	5	7	5	0	0	0	0	0	0	56.3	49.1	0.0	30.376	279	279	1.0	129	0.0	88.811	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.9	24.0	43.7	33.0	49.8	31.9	1.4559E9	1.3800514276731703E8	1.2334974444746623E7	7.177405051753154E7	1.557238804520222E7	4.631078789731473E7	6.541176572616842E7	2.7839936059287038E7	2.896413801973534E7	8.0884E7	6235400.0	2608300.0	3782100.0	3140100.0	4522800.0	3478000.0	5	5	2	5	8	5	124	NA	NA	NA	0	NA	1.0
A0A0A6YYA0;Q9Y3B3	A0A0A6YYA0;Q9Y3B3	4;4	4;4	4;4	Transmembrane emp24 domain-containing protein 7	TMED7-TICAM2;TMED7	Protein TMED7-TICAM2 OS=Homo sapiens GN=TMED7-TICAM2 PE=3 SV=1;Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens GN=TMED7 PE=1 SV=2	2	4	4	4	3	1	2	3	2	3	3	1	2	3	2	3	3	1	2	3	2	3	28.7	28.7	28.7	21.233	188	188;224	1.0	84	0.0	10.185	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.8	5.3	15.4	21.8	11.7	21.8	1.1366E9	NA	NA	NA	1.335287097576035E7	5.086627515953259E7	3.950976313729898E7	2.0286929235399973E7	4.8905794833297364E7	9.4718E7	4099300.0	1962200.0	4487500.0	5386200.0	4249900.0	4155700.0	3	2	3	3	2	3	73	NA	NA	NA	1	1.0	1.0
A0A0A6YYH1;P59780	A0A0A6YYH1;P59780	2;2	2;2	2;2	AP-3 complex subunit sigma-2	C15orf38-AP3S2;AP3S2	Protein C15orf38-AP3S2 OS=Homo sapiens GN=C15orf38-AP3S2 PE=4 SV=1;AP-3 complex subunit sigma-2 OS=Homo sapiens GN=AP3S2 PE=2 SV=1	2	2	2	2	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	4.8	4.8	4.8	43.881	394	394;193	1.0	16	0.001726	1.9884	By matching	NA	NA	By matching	By matching	By matching	2.3	0.0	0.0	2.3	2.3	2.3	6.0958E7	4160334.63810199	NA	NA	NA	3590791.710635593	3540430.8778183875	1125920.3927397311	NA	2650300.0	137890.0	0.0	0.0	171500.0	172430.0	172030.0	0	0	0	0	0	0	6	NA	NA	NA	2	NA	1.0
A0A0A6YYL6;P18621;O60437	A0A0A6YYL6;P18621	10;10;1	10;10;1	10;10;1	60S ribosomal protein L17	RPL17-C18orf32;RPL17	Protein RPL17-C18orf32 OS=Homo sapiens GN=RPL17-C18orf32 PE=3 SV=1;60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3	3	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	43.0	43.0	43.0	26.372	228	228;184;1756	1.0	376	0.0	154.74	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	40.4	40.4	40.4	40.4	40.4	40.4	2.6859E10	1.0283545136508254E9	3.142225985635261E8	1.2805669845330362E9	1.5563821877982251E7	8.941365365382733E8	1.1340826920188868E9	1.6350440183360975E9	1.7004683026189286E7	1.6787E9	5.3899E7	7.7659E7	7.8788E7	5.9419E7	7.6474E7	1.0108E8	19	17	15	23	22	17	467	NA	NA	NA	3	NA	1.0
A0A0B4J1V8;Q9NQ55	A0A0B4J1V8;Q9NQ55	7;7	7;7	7;7	Suppressor of SWI4 1 homolog	PPAN-P2RY11;PPAN	HCG2039996 OS=Homo sapiens GN=PPAN-P2RY11 PE=3 SV=1;Suppressor of SWI4 1 homolog OS=Homo sapiens GN=PPAN PE=2 SV=1	2	7	7	7	2	3	4	6	5	5	2	3	4	6	5	5	2	3	4	6	5	5	10.5	10.5	10.5	87.917	794	794;473	1.0	102	0.0	23.685	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.4	3.8	5.8	8.4	6.9	6.9	6.5933E8	6383802.317440599	4694509.838598878	3.425205664574559E7	NA	1.5392710326054469E7	2.9521666227739606E7	2.0631702703767933E7	2.653330588732573E7	1.5333E7	121870.0	416330.0	756000.0	471300.0	907960.0	1215900.0	2	1	3	4	3	2	67	NA	NA	NA	4	NA	1.0
A0A0B4J269;Q13509	A0A0B4J269;Q13509	14;14	1;1	1;1	Tubulin beta-3 chain	TUBB3	Uncharacterized protein OS=Homo sapiens PE=1 SV=1;Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2	2	14	1	1	11	11	11	10	13	12	0	0	0	0	1	1	0	0	0	0	1	1	21.0	3.3	3.3	88.381	797	797;450	1.0	10	0.0072115	1.4604	By matching	By matching	By matching	By matching	By matching	By matching	15.1	15.4	15.4	14.3	20.2	18.7	2.5331E8	NA	NA	NA	NA	NA	2.2386282352586344E7	5698109.920671309	NA	7676000.0	0.0	0.0	0.0	0.0	896250.0	542260.0	0	0	0	0	0	0	3	NA	NA	NA	5	NA	NA
A0A0B4J2E5;Q15269	A0A0B4J2E5;Q15269	15;15	15;15	13;13	Periodic tryptophan protein 2 homolog	PWP2	Uncharacterized protein OS=Homo sapiens GN=LOC102724159 PE=1 SV=1;Periodic tryptophan protein 2 homolog OS=Homo sapiens GN=PWP2 PE=2 SV=2	2	15	15	13	6	4	6	11	9	9	6	4	6	11	9	9	4	3	5	9	7	7	19.5	19.5	17.3	102.45	919	919;919	1.0	205	0.0	21.354	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.3	5.2	7.5	14.3	11.4	9.4	1.3317E9	4.503955616315043E7	6157646.111979231	8.381638376503101E7	9455654.76273584	5.591742889638903E7	4.438486286515709E7	2.994943538933071E7	6222054.074107315	2.8334E7	785150.0	496540.0	1693600.0	1495700.0	1207700.0	1454000.0	3	3	4	8	8	8	142	NA	NA	NA	6	NA	1.0
A0A0J9YWU9;P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824;A0A0C4DH34;A0A087WW49;A0A075B7B6;A0A075B6R2;P0DP07;A0A087WSY4;Q9LKU3	A0A0J9YWU9;P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824;A0A0C4DH34;A0A087WW49;A0A075B7B6;A0A075B6R2;P0DP07;A0A087WSY4;Q9LKU3	2;2;2;2;2;2;2;1;1;1;1;1;1;1	2;2;2;2;2;2;2;1;1;1;1;1;1;1	2;2;2;2;2;2;2;1;1;1;1;1;1;1	Ig heavy chain V-II region NEWM;Ig heavy chain V-II region ARH-77;Ig heavy chain V-II region WAH	IGHV4-61;IGHV4-28;IGHV4OR15-8;IGHV4-4;IGHV4-31;T32B20.g	Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=1;Immunoglobulin heavy variable 4-38-2 OS=Homo sapiens GN=IGHV4-38-2 PE=3 SV=1;Immunoglobulin heavy variable 4-30-4 OS=Homo sapiens GN=IGHV4-30-4 PE=3 SV=1;Immunoglobulin heavy variable 4-61 OS=Hom	14	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	12.9	12.9	12.9	12.943	116	116;117;118;118;116;123;125;117;117;117;117;118;118;917	1.0	33	8.8928E-4	2.2313	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.8	7.8	7.8	7.8	12.9	7.8	1.4518E9	4.6969859130344294E7	1.4405226652832296E7	2.8810180665397547E7	NA	4.562682627868772E7	6.603758342676456E7	2.5067767061844848E7	NA	2.074E8	5110300.0	7556500.0	7632600.0	8133900.0	1.1986E7	8362600.0	1	2	1	2	1	1	29	NA	NA	NA	7	1.0	1.0
A0A0U1RQV1	A0A0U1RQV1	1	1	1	NA	NA	Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1	12.1	12.1	12.462	116	116	1.0	1	8.9505E-4	2.2882	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	NA	NA	NA	8	NA	NA
A0A1B0GU03;P07339	A0A1B0GU03;P07339	7;7	7;7	7;7	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	CTSD	Uncharacterized protein OS=Homo sapiens PE=1 SV=1;Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1	2	7	7	7	1	2	3	3	3	2	1	2	3	3	3	2	1	2	3	3	3	2	16.2	16.2	16.2	62.701	582	582;412	1.0	62	0.0	15.715	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.7	3.6	5.8	5.3	5.3	3.6	3.917E8	1.2895069479210673E7	3612318.916657259	3.2890061674160965E7	3.9139364762442046E8	1.5571478060381386E7	1.3145711736017412E7	4972123.133350372	4.3097571234701824E8	1.3507E7	362410.0	477490.0	1072400.0	698250.0	588860.0	543820.0	2	2	2	2	3	2	52	NA	NA	NA	10	NA	1.0
